line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.274994770000000E+08    1.100000  0.062720  3.779120  0.7200000E+00  0.2660000E+00  2.2653050E-03  3.6311680E-05  6.5629930E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0107  3.779120    0.000  1.923580  7.161060  0.7168419E+00  0.2687955E+00  5.5434630E-05  1.9134880E-05  3.2602810E-03  5.6898660E-03  4.7203940E-06  5.9966680E-06  1.7888690E-03  2.4320250E-04  0.000E+00  7.236E-05  7.236E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.00E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  2  0.107583980000000E+09    1.100000  0.069020  3.779910  0.7202528E+00  0.2657516E+00  2.2638880E-03  3.6286220E-05  6.5591890E-04  5.6875270E-03  3.8179660E-06  1.2832910E-05  1.7879920E-03  2.4306540E-04  0.000E+00  0.0000  3.779910    0.000  1.933520  7.162270  0.7082778E+00  0.2773525E+00  1.1275790E-05  3.0790480E-06  3.3350830E-03  5.6880080E-03  1.0144070E-05  8.9123890E-08  1.7896810E-03  2.4332600E-04  0.000E+00  1.225E-05  7.391E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.50E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  3  0.177623610000000E+09    1.100000  0.071690  3.780040  0.7205088E+00  0.2654987E+00  2.2624460E-03  3.6260320E-05  6.5553190E-04  5.6843590E-03  3.8156540E-06  1.2824470E-05  1.7870980E-03  2.4292570E-04  0.000E+00  0.0000  3.780040    0.000  1.938160  7.163200  0.7005677E+00  0.2850565E+00  1.1331740E-05  3.0944000E-06  3.3367430E-03  5.6866090E-03  1.5481280E-05  5.8787050E-09  1.7906060E-03  2.4346750E-04  0.000E+00  9.255E-06  7.438E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  6.43E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  4  0.263679290000000E+09    1.100000  0.074620  3.780180  0.7208122E+00  0.2651974E+00  2.2607200E-03  3.6229470E-05  6.5506800E-04  5.6805600E-03  3.8128850E-06  1.2814370E-05  1.7860250E-03  2.4275820E-04  0.000E+00  0.0000  3.780180    0.000  1.943820  7.164440  0.6910684E+00  0.2945479E+00  1.1402490E-05  3.1138890E-06  3.3387780E-03  5.6846700E-03  2.2410390E-05  4.5543660E-09  1.7917700E-03  2.4364520E-04  0.000E+00  7.709E-06  7.626E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.37E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  5  0.327055460000000E+09    1.100000  0.076710  3.780280  0.7210186E+00  0.2649911E+00  2.2595440E-03  3.6208640E-05  6.5475230E-04  5.6779750E-03  3.8109980E-06  1.2807480E-05  1.7852950E-03  2.4264400E-04  0.000E+00  0.0000  3.780280    0.000  1.948030  7.165390  0.6840556E+00  0.3015547E+00  1.1457400E-05  3.1290100E-06  3.3403190E-03  5.6830740E-03  2.7790960E-05  5.6728300E-09  1.7926540E-03  2.4378010E-04  0.000E+00  7.173E-06  7.834E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  5.01E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  6  0.406275680000000E+09    1.100000  0.079310  3.780410  0.7212430E+00  0.2647642E+00  2.2582510E-03  3.6186320E-05  6.5440560E-04  5.6751340E-03  3.8089230E-06  1.2799900E-05  1.7844940E-03  2.4251830E-04  0.000E+00  0.0000  3.780410    0.000  1.953330  7.166610  0.6752670E+00  0.3103357E+00  1.1527990E-05  3.1484530E-06  3.3422890E-03  5.6808320E-03  3.4874540E-05  7.2220680E-09  1.7937870E-03  2.4395260E-04  0.000E+00  6.887E-06  8.084E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  4.82E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  7  0.469651860000000E+09    1.100000  0.081400  3.780510  0.7214188E+00  0.2645849E+00  2.2572250E-03  3.6169290E-05  6.5413020E-04  5.6728770E-03  3.8072760E-06  1.2793880E-05  1.7838560E-03  2.4241850E-04  0.000E+00  0.0000  3.780510    0.000  1.957620  7.167600  0.6682172E+00  0.3173792E+00  1.1585790E-05  3.1643760E-06  3.3438980E-03  5.6788170E-03  4.0845940E-05  8.5421800E-09  1.7947120E-03  2.4409360E-04  0.000E+00  6.513E-06  8.252E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  4.57E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  8  0.548872080000000E+09    1.100000  0.084040  3.780640  0.7216335E+00  0.2643644E+00  2.2559600E-03  3.6149530E-05  6.5379130E-04  5.6700990E-03  3.8052480E-06  1.2786480E-05  1.7830710E-03  2.4229570E-04  0.000E+00  0.0000  3.780640    0.000  1.963040  7.168860  0.6593797E+00  0.3262086E+00  1.1659410E-05  3.1846580E-06  3.3459550E-03  5.6759940E-03  4.8717740E-05  1.0298070E-08  1.7958910E-03  2.4427330E-04  0.000E+00  6.256E-06  8.417E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  4.40E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
